Player,Team,Comb,Asst,Solo,Sck
Eddie Jackson,Baltimore Ravens,30,12,17,0.0
Grady Jarrett,Atlanta Falcons,30,11,15,2.5
Marcus Jones,New England Patriots,30,6,22,0.0
Marshon Lattimore,New Orleans Saints,30,8,20,0.0
Marcus Maye,Miami Dolphins,30,17,10,0.0
Malik Mustapha,San Francisco 49ers,30,17,11,0.0
Vita Vea,Tampa Bay Buccaneers,30,10,15,5.0
Leo Chenal,Kansas City Chiefs,29,7,18,1.0
Maxx Crosby,Las Vegas Raiders,29,12,15,6.5
Jack Gibbens,Tennessee Titans,29,16,12,0.5
Noah Igbinoghene,Washington Commanders,29,8,19,0.0
Jalen Ramsey,Miami Dolphins,29,12,14,0.0
D.J. Reed,New York Jets,29,6,20,1.0
Nick Bosa,San Francisco 49ers,28,9,16,4.5
Coby Bryant,Seattle Seahawks,28,9,16,0.0
Calais Campbell,Miami Dolphins,28,5,18,2.0
Kendall Fuller,Miami Dolphins,28,9,17,0.0
Chauncey Golston,Dallas Cowboys,28,17,11,2.0
Jaylinn Hawkins,New England Patriots,28,10,12,0.0
Taron Johnson,Buffalo Bills,28,13,14,0.0
Kamari Lassiter,Houston Texans,28,7,17,0.0
Trent McDuffie,Kansas City Chiefs,28,11,16,0.0
Quinyon Mitchell,Philadelphia Eagles,28,6,21,0.0
Chad Muma,Jacksonville Jaguars,28,17,9,0.0
Harrison Phillips,Minnesota Vikings,28,17,9,2.0
Nick Scott,Carolina Panthers,28,13,14,0.0
Starling Thomas V,Arizona Cardinals,28,7,17,0.0
DeMarcus Walker,Chicago Bears,28,14,9,1.5
Evan Williams,Green Bay Packers,28,10,17,0.0
Marcus Williams,Baltimore Ravens,28,6,16,0.0
Will Anderson Jr.,Houston Texans,27,7,16,7.5
Calen Bullock,Houston Texans,27,9,18,0.0
Matthew Judon,Atlanta Falcons,27,14,12,1.5
Rodney McLeod Jr.,Cleveland Browns,27,6,17,0.0
