Player,Team,FF,FR,FR TD
Tanner Conner,Miami Dolphins,0,0,0
Bryan Cook,Kansas City Chiefs,0,0,0
Logan Cooke,Jacksonville Jaguars,0,0,0
Blake Corum,Los Angeles Rams,0,0,0
Britain Covey,Philadelphia Eagles,0,0,0
Byron Cowart,Chicago Bears,0,0,0
Morgan Cox,Tennessee Titans,0,0,0
Maxx Crosby,Las Vegas Raiders,0,0,0
McClendon Curtis,Seattle Seahawks,0,0,0
DeeJay Dallas,Arizona Cardinals,0,0,0
Drew Dalman,Atlanta Falcons,0,0,0
Scott Daly,Chicago Bears,0,0,0
Michael Danna,Kansas City Chiefs,0,0,0
Ronald Darby,Jacksonville Jaguars,0,0,0
Sam Darnold,Minnesota Vikings,0,0,0
Christian Darrisaw,Minnesota Vikings,0,0,0
Marcus Davenport,Detroit Lions,0,0,0
DJ Davidson,New York Giants,0,0,0
Ashtyn Davis,New York Jets,0,0,0
Carlton Davis,Detroit Lions,0,2,0
Demario Davis,New Orleans Saints,0,0,0
Isaiah Davis,New York Jets,0,0,0
Jalen Davis,Cincinnati Bengals,0,0,0
Jamin Davis,Green Bay Packers,0,0,0
Jordan Davis,Philadelphia Eagles,0,0,0
Kalia Davis,San Francisco 49ers,0,0,0
Khalil Davis,Houston Texans,0,0,0
Michael Davis,Washington Commanders,0,0,0
Raekwon Davis,Indianapolis Colts,0,0,0
Tyler Davis,Green Bay Packers,0,0,0
Akeem Davis-Gaither,Cincinnati Bengals,0,0,0
Sheldon Day,Washington Commanders,0,0,0
Divine Deablo,Las Vegas Raiders,0,0,0
Jamel Dean,Tampa Bay Buccaneers,0,0,0
Nakobe Dean,Philadelphia Eagles,0,1,0
Josiah Deguara,Jacksonville Jaguars,0,0,0
Cooper DeJean,Philadelphia Eagles,0,0,0
Tank Dell,Houston Texans,0,0,0
Grant Delpit,Cleveland Browns,0,1,0
Trevor Denbow,Indianapolis Colts,0,0,0
SirVocea Dennis,Tampa Bay Buccaneers,0,0,0
Andrew DePaola,Minnesota Vikings,0,0,0
Gervon Dexter Sr.,Chicago Bears,0,1,0
Mohamoud Diabate,Cleveland Browns,0,0,0
Michael Dickson,Seattle Seahawks,0,0,0
Quandre Diggs,Tennessee Titans,0,0,0
Stefon Diggs,Houston Texans,0,0,0
Trevon Diggs,Dallas Cowboys,0,0,0
Riley Dixon,Denver Broncos,0,0,0
Khalil Dorsey,Detroit Lions,0,0,0
Kevin Dotson,Los Angeles Rams,0,0,0
Romeo Doubs,Green Bay Packers,0,0,0
Josh Downs,Indianapolis Colts,0,0,0
Storm Duck,Miami Dolphins,0,0,0
Ashton Dulin,Indianapolis Colts,0,0,0
Bud Dupree,Los Angeles Chargers,0,0,0
Payne Durham,Tampa Bay Buccaneers,0,0,0
Troy Dye,Los Angeles Chargers,0,0,0
Arnold Ebiketie,Atlanta Falcons,0,0,0
Brandin Echols,New York Jets,0,0,0
Terrell Edmunds,Jacksonville Jaguars,0,0,0
Mike Edwards,Buffalo Bills,0,0,0
Mario Edwards,Houston Texans,0,1,0
Sam Eguavoen,New York Jets,0,0,0
Tommy Eichenberg,Las Vegas Raiders,0,0,0
Daniel Ekuale,New England Patriots,0,0,0
Kaiir Elam,Buffalo Bills,0,1,0
Ezekiel Elliott,Dallas Cowboys,0,0,0
Jordan Elliott,San Francisco 49ers,0,0,0
Jonah Elliss,Denver Broncos,0,0,0
Kaden Elliss,Atlanta Falcons,0,1,0
Jermaine Eluemunor,New York Giants,0,0,0
Evan Engram,Jacksonville Jaguars,0,0,0
Marcus Epps,Las Vegas Raiders,0,0,0
Zach Ertz,Washington Commanders,0,0,0
Travis Etienne,Jacksonville Jaguars,0,0,0
Akayleb Evans,Minnesota Vikings,0,0,0
Mike Evans,Tampa Bay Buccaneers,0,0,0
Ka'imi Fairbairn,Houston Texans,0,0,0
Noah Fant,Seattle Seahawks,0,0,0
Caleb Farley,Carolina Panthers,0,0,0
Luke Farrell,Jacksonville Jaguars,0,0,0
Neil Farrell,Miami Dolphins,0,0,0
Foley Fatukasi,Houston Texans,0,0,0
Simi Fehoko,Los Angeles Chargers,0,0,0
Blake Ferguson,Miami Dolphins,0,0,0
Jake Ferguson,Dallas Cowboys,0,0,0
Reid Ferguson,Buffalo Bills,0,0,0
Clelin Ferrell,Washington Commanders,0,0,0
Tony Fields II,Los Angeles Rams,0,0,0
AJ Finley,Los Angeles Chargers,0,0,0
Minkah Fitzpatrick,Pittsburgh Steelers,0,0,0
Joe Flacco,Indianapolis Colts,0,0,0
Demetrius Flannigan-Fowles,San Francisco 49ers,0,0,0
Tre Flowers,Indianapolis Colts,0,0,0
Cordale Flott,New York Giants,0,0,0
Ryan Flournoy,Dallas Cowboys,0,0,0
Dallis Flowers,Tampa Bay Buccaneers,0,0,0
Zay Flowers,Baltimore Ravens,0,0,0
Emmanuel Forbes,Washington Commanders,0,0,0
